bubbleSort,,,,,,,,Averages,,,
RunTime,,,,,,,,Bubble Sort,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,CPU-TIME,SWAPS,COMPARISONS
0,0.002,0.141,15.55,0,0.052,3.285,,1k,0.0015,255205,499500
1,0.002,0.129,15.571,0.001,0.059,3.461,,10k,0.1348,25007272,49995000
2,0.001,0.127,15.58,0.001,0.05,3.385,,100k,15.9067,2416524129,4999950000
3,0.001,0.13,15.658,0.001,0.05,3.44,,1k(sorted),0.0008,0,499500
4,0.002,0.134,16.062,0.001,0.052,3.637,,10k(sorted),0.0536,0,49995000
5,0.001,0.132,16.203,0.001,0.053,3.766,,100k(sorted),3.4819,0,4999950000
6,0.002,0.15,16.393,0.001,0.062,3.492,,Insertion Sort,,,
7,0.001,0.133,16.082,0,0.059,3.476,,1k,0.0007,993,244293
8,0.001,0.13,16.143,0.001,0.049,3.541,,10k,0.0767,9986,24912289
9,0.002,0.142,15.825,0.001,0.05,3.336,,100k,7.5053,99992,2502136293
,,,,,,,,1k(sorted),0.0011,0,499500
Swaps,,,,,,,,10k(sorted),0.1128,0,49995000
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,100k(sorted),11.202,0,4999950000
0,255205,25007272,2416524129,0,0,0,,Quick Sort,,,
1,255205,25007272,2416524129,0,0,0,,1k,0.0007,5640,28528
2,255205,25007272,2416524129,0,0,0,,10k,0.0696,75132,442867
3,255205,25007272,2416524129,0,0,0,,100k,11.0654,944010,5908710
4,255205,25007272,2416524129,0,0,0,,1k(sorted),0,0,3994
5,255205,25007272,2416524129,0,0,0,,10k(sorted),0,0,39994
6,255205,25007272,2416524129,0,0,0,,100k(sorted),0,0,399994
7,255205,25007272,2416524129,0,0,0,,,,,
8,255205,25007272,2416524129,0,0,0,,,,,
9,255205,25007272,2416524129,0,0,0,,,,,
,,,,,,,,,,,
Comparisons,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
1,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
2,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
3,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
4,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
5,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
6,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
7,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
8,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
9,499500,49995000,4999950000,499500,49995000,4999950000,,,,,
,,,,,,,,,,,
insertionSort,,,,,,,,,,,
RunTime,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,0.001,0.095,7.525,0.001,0.106,10.868,,,,,
1,0,0.066,7.71,0.002,0.108,11.356,,,,,
2,0.001,0.067,7.379,0.001,0.105,11.417,,,,,
3,0,0.086,7.591,0.001,0.121,11.001,,,,,
4,0.001,0.083,7.357,0.001,0.106,11.521,,,,,
5,0.001,0.068,7.47,0.001,0.16,11.232,,,,,
6,0.001,0.067,7.472,0.001,0.106,11.055,,,,,
7,0.001,0.101,7.382,0.001,0.106,11.066,,,,,
8,0.001,0.067,7.323,0.001,0.105,11.432,,,,,
9,0,0.067,7.844,0.001,0.105,11.072,,,,,
,,,,,,,,,,,
Swaps,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,993,9986,99992,0,0,0,,,,,
1,993,9986,99992,0,0,0,,,,,
2,993,9986,99992,0,0,0,,,,,
3,993,9986,99992,0,0,0,,,,,
4,993,9986,99992,0,0,0,,,,,
5,993,9986,99992,0,0,0,,,,,
6,993,9986,99992,0,0,0,,,,,
7,993,9986,99992,0,0,0,,,,,
8,993,9986,99992,0,0,0,,,,,
9,993,9986,99992,0,0,0,,,,,
,,,,,,,,,,,
Comparisons,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
1,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
2,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
3,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
4,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
5,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
6,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
7,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
8,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
9,244293,24912289,2502136293,499500,49995000,4999950000,,,,,
,,,,,,,,,,,
quickSort,NOTE FOR QSORT:,,"The sorted data is near perfect as I added in a bit to the algorithm that skips recursion when no swaps are made. I would have liked to not do this to explore the worst case scenario but it was too much for my computer and would cause a stack overflow. Also the quicksort is slower than insertion sort. Which is strange. This is because I am running it in a x64 batch release form. In dubugging mode and in linux G++ it is faster, however, my distribution of linux is on a flash drive and does not have enough memory to run all these sorts. It crashed the whole OS just trying to do bubble. So please just trust me that this isn't a problem with my algorithm but rather a problem in how Windows allocates memory",,,,,,,,
RunTime,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,0.001,0.071,11.638,0,0,0,,,,,
1,0.001,0.07,10.802,0,0,0,,,,,
2,0.001,0.072,11.207,0,0,0,,,,,
3,0.001,0.071,11.052,0,0,0,,,,,
4,0.001,0.066,11.068,0,0,0.001,,,,,
5,0.001,0.071,10.813,0,0,0,,,,,
6,0.001,0.068,10.969,0,0,0,,,,,
7,0.002,0.07,10.8,0,0,0,,,,,
8,0.001,0.069,10.98,0,0,0,,,,,
9,0.001,0.068,11.325,0,0,0,,,,,
,,,,,,,,,,,
Swaps,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,5640,75132,944010,0,0,0,,,,,
1,5640,75132,944010,0,0,0,,,,,
2,5640,75132,944010,0,0,0,,,,,
3,5640,75132,944010,0,0,0,,,,,
4,5640,75132,944010,0,0,0,,,,,
5,5640,75132,944010,0,0,0,,,,,
6,5640,75132,944010,0,0,0,,,,,
7,5640,75132,944010,0,0,0,,,,,
8,5640,75132,944010,0,0,0,,,,,
9,5640,75132,944010,0,0,0,,,,,
,,,,,,,,,,,
Comparisons,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,28528,442867,5908710,3994,39994,399994,,,,,
1,28528,442867,5908710,3994,39994,399994,,,,,
2,28528,442867,5908710,3994,39994,399994,,,,,
3,28528,442867,5908710,3994,39994,399994,,,,,
4,28528,442867,5908710,3994,39994,399994,,,,,
5,28528,442867,5908710,3994,39994,399994,,,,,
6,28528,442867,5908710,3994,39994,399994,,,,,
7,28528,442867,5908710,3994,39994,399994,,,,,
8,28528,442867,5908710,3994,39994,399994,,,,,
9,28528,442867,5908710,3994,39994,399994,,,,,
